word_count,sentence_count,avg_sentence_length,header_count,code_block_count,table_count,list_count,diagram_count,completeness_score,security_mentions,scalability_mentions,api_mentions,database_mentions,performance_mentions,monitoring_mentions,duplicate_headers,header_coverage,code_coverage,keyword_density,section_density,has_architecture_section,has_security_section,has_scalability_section,has_deployment_section,has_monitoring_section,has_api_spec,has_data_model,service_count,entity_count,api_endpoint_count,readability,documentation_quality,technical_depth,formatting_quality,examples_count,consistency_score,structure_quality,quality_score
1360,134,10.149253731343284,11,14,7,24,2,58,1,4,17,15,6,7,4,0.08208955223880597,1.2727272727272727,0.03676470588235294,0.195422586638349,1,0,0,0,0,0,1,3,35,29,30.629444176574797,31.9233767340166,92.92306624295668,41.1476094181357,4,92.45959200995372,76.93690656332731,58.548758920044676
4272,228,18.736842105263158,27,11,8,21,2,69,13,11,17,2,3,7,3,0.11842105263157894,0.4074074074074074,0.012406367041198503,0.0111545873118305,0,1,1,1,1,1,0,9,3,9,39.84459428812946,47.69028320572703,60.400392766953296,46.87186160936057,5,73.18573966336336,87.35317548565567,53.57367404999946
3592,33,108.84848484848484,36,11,3,1,0,51,11,2,6,8,4,4,1,1.0909090909090908,0.3055555555555556,0.009743875278396437,0.24232573024632142,0,0,0,1,1,0,1,19,9,98,14.841951046893547,23.432981812815534,14.05998959683545,87.46075845181942,9,66.9100706823579,96.94520894916239,63.92106753820816
966,28,34.5,15,5,7,12,3,42,12,10,14,3,8,8,2,0.5357142857142857,0.3333333333333333,0.056935817805383024,0.6787759835204289,0,1,1,0,0,0,1,11,0,60,18.864367529566035,77.55815145411717,46.70766670830957,22.18301205204525,9,52.79301549892237,62.6029692361202,53.78225673798524
4926,59,83.49152542372882,26,8,8,4,1,47,9,14,17,4,6,3,3,0.4406779661016949,0.3076923076923077,0.01075923670320747,0.23108892213456855,1,0,1,0,1,0,0,8,20,62,25.186160634746926,96.20687850539353,47.48413711321629,38.414502309700616,1,47.05981873968301,74.62702943355708,76.89776840528555
3944,256,15.40625,26,3,9,24,2,64,4,10,17,10,3,8,1,0.1015625,0.11538461538461539,0.013184584178498986,0.5090034454826182,1,1,1,1,1,1,0,14,39,35,24.415936204780586,41.12883121432606,96.89418445940063,92.39347362754135,2,73.6840909944144,45.176389464012736,45.39200769460115
3671,220,16.686363636363637,29,2,9,7,1,48,8,14,19,8,5,6,3,0.1318181818181818,0.06896551724137931,0.016344320348678835,0.8878181149649986,1,1,0,1,1,0,0,8,38,53,25.66992350420847,27.015736732984745,63.927738191899735,71.19171488666015,9,61.28259120396033,61.52823283413201,57.19542730774077
3419,265,12.90188679245283,26,11,4,22,4,67,1,0,8,2,9,5,4,0.09811320754716982,0.4230769230769231,0.007312079555425563,0.6937579203490752,1,0,0,0,0,0,0,6,36,96,41.74085058561298,58.045606140292286,67.2085964043045,38.14776764008451,4,93.73612069524044,64.72295355336315,38.92852167499499
630,297,2.121212121212121,32,7,6,0,0,45,1,6,1,5,6,3,1,0.10774410774410774,0.21875,0.03492063492063492,0.39462906990603197,0,0,0,1,1,1,1,23,2,64,22.966176118486924,88.5358578502055,74.19277281261438,37.53159745860643,2,64.41471012798348,90.11423900944305,54.79688412164859
2185,254,8.60236220472441,33,10,9,19,3,74,11,3,7,10,9,1,4,0.12992125984251968,0.30303030303030304,0.018764302059496567,0.3724689389121083,1,1,0,1,0,0,1,11,30,81,30.075927216106585,64.15793562174238,79.30353841139109,89.00944814075444,4,65.82564416908338,70.80354412754062,34.80546753440055
